time,sentiment,social_score
2019-04-17,4.0,4325.0
2020-01-15,4.0,4302.0
2019-06-08,4.0,4301.0
2019-09-26,4.0,4282.0
2020-10-22,4.0,4277.0
2020-04-05,4.0,4271.0
2020-04-06,4.0,4271.0
2020-07-25,4.0,4260.0
2019-05-17,2.0,4238.0
2020-08-11,3.0,4237.0
2020-03-17,4.0,4236.0
2019-06-06,2.0,4231.0
2019-06-24,4.0,4225.0
2020-04-12,4.0,4225.0
2020-02-06,4.0,4218.0
2019-01-03,4.0,4207.0
2020-02-29,4.0,4198.0
2020-03-13,4.0,4178.0
2019-10-06,4.0,4171.0
2019-07-14,4.0,4168.0
2020-06-16,4.0,4166.0
2020-05-24,4.0,4164.0
2020-11-11,4.0,4163.0
2020-08-19,4.0,4134.0
2019-02-20,4.0,4131.0
2019-07-02,4.0,4111.0
2019-09-19,4.0,4094.0
2019-11-27,4.0,4085.0
2019-01-11,1.0,4082.0
2019-03-12,4.0,4082.0
2020-02-24,4.0,4072.0
2019-08-20,4.0,4070.0
2019-05-14,4.0,4066.0
2019-11-28,4.0,4064.0
2020-03-18,4.0,4039.0
2019-10-01,4.0,4024.0
2020-03-21,3.0,4024.0
2019-11-23,5.0,4007.0
2019-08-01,4.0,3994.0
2019-04-22,4.0,3992.0
2020-09-17,4.0,3977.0
2019-03-23,4.0,3976.0
